Species,Productive season1,Productive season2,Productive season3
﻿Acacia harpophylla,spring,,
Acmena hemilampra,not_listed,,
Acmena ingens,not_listed,,
Acmena smithii,not_listed,,
Alphitonia excelsa,not_listed,,
Amorphospermum antilogum,spring,,
Angophora costata,summer,,
Angophora floribunda,summer,,
Angophora leiocarpa,summer,,
Archontophoenix cunninghamiana,not_listed,,
Asparagus africanus,spring,winter,
Avicennia marina,not_listed,,
Banksia aemula,autumn,winter,
Banksia integrifolia,winter,spring,
Banksia serrata,autumn,,
Brachychiton populneus,spring,,
Callistemon salignus,summer,,
Callistemon viminalis,winter,autumn,
Castanospermum australe,summer,,
Celtis sinensis,summer,,
Cissus hypoglauca,not_listed,,
Citrus aurantium,not_listed,,
Citrus limon,not_listed,,
Citrus reticulata,not_listed,,
Citrus sinensis,not_listed,,
Corymbia citriodora,autumn,winter,spring
Corymbia confertiflora,spring,,
Corymbia dallachiana,spring,,
Corymbia erythrophloia,spring,,
Corymbia eximia,spring,,
Corymbia gummifera,summer,,
Corymbia henryi,summer,,
Corymbia intermedia,summer,,
Corymbia maculata,autumn,winter,
Corymbia polycarpa,spring,,
Corymbia tessellaris,summer,,
Corymbia torelliana,summer,spring,
Corymbia trachyphloia,summer,,
Corymbia variegata,summer,,
Dendrocnide excelsa,not_listed,,
Diospyros australis,not_listed,,
Diospyros calycantha,not_listed,,
Diospyros compacta,not_listed,,
Diospyros fasciculosa,not_listed,,
Diospyros geminata,not_listed,,
Diospyros granitica,not_listed,,
Diospyros hebecarpa,not_listed,,
Diospyros hemicycloides,not_listed,,
Diospyros humilis,not_listed,,
Diospyros kaki,not_listed,,
Diospyros laurina,not_listed,,
Diospyros littorea,not_listed,,
Diospyros mabacea,not_listed,,
Diospyros maritima,not_listed,,
Diospyros peninsularis,not_listed,,
Diospyros pentamera,not_listed,,
Diospyros pluviatilis,not_listed,,
Diospyros uvida,not_listed,,
Diospyros yandina,not_listed,,
Diploglottis australis,not_listed,,
